id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,noncomm_positions_long_old,noncomm_positions_short_old,noncomm_positions_spread,comm_positions_long_old,comm_positions_short_old,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,noncomm_positions_long_other,noncomm_positions_short_other,noncomm_positions_spread_1,comm_positions_long_other,comm_positions_short_other,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_noncomm_long_all,change_in_noncomm_short_all,change_in_noncomm_spead_all,change_in_comm_long_all,change_in_comm_short_all,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_noncomm_long_all,pct_of_oi_noncomm_short_all,pct_of_oi_noncomm_spread,pct_of_oi_comm_long_all,pct_of_oi_comm_short_all,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_noncomm_long_old,pct_of_oi_noncomm_short_old,pct_of_oi_noncomm_spread_1,pct_of_oi_comm_long_old,pct_of_oi_comm_short_old,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_noncomm_long_other,pct_of_oi_noncomm_short_other,pct_of_oi_noncomm_spread_2,pct_of_oi_comm_long_other,pct_of_oi_comm_short_other,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_noncomm_long_all,traders_noncomm_short_all,traders_noncomm_spread_all,traders_comm_long_all,traders_comm_short_all,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_noncomm_long_old,traders_noncomm_short_old,traders_noncomm_spead_old,traders_comm_long_old,traders_comm_short_old,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_noncomm_long_other,traders_noncomm_short_other,traders_noncomm_spread_other,traders_comm_long_other,traders_comm_short_other,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
260428088691C,GOLD - COMMODITY EXCHANGE INC.,2026-04-28T00:00:00.000,2026 Report Week 17,GOLD,088691,CMX ,NYC,088 ,GOLD,521553,204559,51055,157573,104291,294468,466423,503097,55131,18457,521553,204559,51055,157573,104291,294468,466423,503097,55131,18457,0,0,0,0,0,0,0,0,0,0,-35341,-3564,3129,-25305,-2403,-13470,-31272,-35646,-4069,305,100.0,39.2,9.8,30.2,20.0,56.5,89.4,96.5,10.6,3.5,100.0,39.2,9.8,30.2,20.0,56.5,89.4,96.5,10.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,180,54,135,56,55,279,201,300,180,54,135,56,55,279,201,0,0,0,0,0,0,0,0,18.5,28.0,29.8,43.5,12.7,23.3,18.9,31.7,18.5,28.0,29.8,43.5,12.7,23.3,18.9,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260428088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-28T00:00:00.000,2026 Report Week 17,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,61834,17658,40705,2129,6027,0,25814,42834,36020,19000,61834,17658,40705,2129,6027,0,25814,42834,36020,19000,0,0,0,0,0,0,0,0,0,0,1353,2179,-694,-518,98,0,1759,-1212,-406,2565,100.0,28.6,65.8,3.4,9.7,0.0,41.7,69.3,58.3,30.7,100.0,28.6,65.8,3.4,9.7,0.0,41.7,69.3,58.3,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,18,18,12,4,0,28,24,40,18,18,12,4,0,28,24,0,0,0,0,0,0,0,0,24.1,46.8,30.8,58.8,24.1,45.8,30.2,57.8,24.1,46.8,30.8,58.8,24.1,45.8,30.2,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260421088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-21T00:00:00.000,2026 Report Week 16,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,60480,15479,41399,2647,5929,0,24055,44046,36425,16434,60480,15479,41399,2647,5929,0,24055,44046,36425,16434,0,0,0,0,0,0,0,0,0,0,566,-2980,9501,-1164,-279,0,-4423,8337,4989,-7771,100.0,25.6,68.5,4.4,9.8,0.0,39.8,72.8,60.2,27.2,100.0,25.6,68.5,4.4,9.8,0.0,39.8,72.8,60.2,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,21,20,9,4,0,30,24,45,21,20,9,4,0,30,24,0,0,0,0,0,0,0,0,20.9,49.8,27.5,60.8,20.4,48.7,26.3,59.1,20.9,49.8,27.5,60.8,20.4,48.7,26.3,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260421088691C,GOLD - COMMODITY EXCHANGE INC.,2026-04-21T00:00:00.000,2026 Report Week 16,GOLD,088691,CMX ,NYC,088 ,GOLD,556894,208123,47927,182878,106694,307938,497695,538742,59200,18152,556894,208123,47927,182878,106694,307938,497695,538742,59200,18152,0,0,0,0,0,0,0,0,0,0,-8275,-41,882,-9111,-326,230,-9478,-7999,1203,-275,100.0,37.4,8.6,32.8,19.2,55.3,89.4,96.7,10.6,3.3,100.0,37.4,8.6,32.8,19.2,55.3,89.4,96.7,10.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,195,51,144,57,56,292,211,312,195,51,144,57,56,292,211,0,0,0,0,0,0,0,0,18.8,27.7,30.5,43.4,11.9,22.4,17.4,30.8,18.8,27.7,30.5,43.4,11.9,22.4,17.4,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260414088691C,GOLD - COMMODITY EXCHANGE INC.,2026-04-14T00:00:00.000,2026 Report Week 15,GOLD,088691,CMX ,NYC,088 ,GOLD,565169,208164,47045,191989,107020,307708,507173,546742,57997,18427,565169,208164,47045,191989,107020,307708,507173,546742,57997,18427,0,0,0,0,0,0,0,0,0,0,14682,5694,-1557,7722,-711,7511,12704,13675,1978,1006,100.0,36.8,8.3,34.0,18.9,54.4,89.7,96.7,10.3,3.3,100.0,36.8,8.3,34.0,18.9,54.4,89.7,96.7,10.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302,182,54,138,55,57,281,206,302,182,54,138,55,57,281,206,0,0,0,0,0,0,0,0,18.9,27.6,30.5,43.6,11.5,22.3,16.6,30.4,18.9,27.6,30.5,43.6,11.5,22.3,16.6,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260414088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-14T00:00:00.000,2026 Report Week 15,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,59915,18459,31898,3811,6208,0,28478,35709,31437,24206,59915,18459,31898,3811,6208,0,28478,35709,31437,24206,0,0,0,0,0,0,0,0,0,0,2684,2345,2607,-577,101,0,1869,2030,815,654,100.0,30.8,53.2,6.4,10.4,0.0,47.5,59.6,52.5,40.4,100.0,30.8,53.2,6.4,10.4,0.0,47.5,59.6,52.5,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,19,19,9,5,0,31,22,44,19,19,9,5,0,31,22,0,0,0,0,0,0,0,0,23.9,42.4,33.0,50.7,23.9,41.4,31.8,47.7,23.9,42.4,33.0,50.7,23.9,41.4,31.8,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260407088691C,GOLD - COMMODITY EXCHANGE INC.,2026-04-07T00:00:00.000,2026 Report Week 14,GOLD,088691,CMX ,NYC,088 ,GOLD,550487,202470,48602,184267,107732,300197,494469,533066,56019,17421,550487,202470,48602,184267,107732,300197,494469,533066,56019,17421,0,0,0,0,0,0,0,0,0,0,-8490,-2161,4667,-3969,-994,-8662,-7124,-7964,-1366,-526,100.0,36.8,8.8,33.5,19.6,54.5,89.8,96.8,10.2,3.2,100.0,36.8,8.8,33.5,19.6,54.5,89.8,96.8,10.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,182,50,130,54,54,274,196,295,182,50,130,54,54,274,196,0,0,0,0,0,0,0,0,18.7,27.8,30.6,43.4,11.7,22.5,17.3,30.5,18.7,27.8,30.6,43.4,11.7,22.5,17.3,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260407088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-07T00:00:00.000,2026 Report Week 14,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,57230,16114,29291,4388,6107,0,26609,33679,30621,23551,57230,16114,29291,4388,6107,0,26609,33679,30621,23551,0,0,0,0,0,0,0,0,0,0,-62,622,708,-384,20,0,258,324,-320,-386,100.0,28.2,51.2,7.7,10.7,0.0,46.5,58.8,53.5,41.2,100.0,28.2,51.2,7.7,10.7,0.0,46.5,58.8,53.5,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,18,17,10,5,0,30,21,41,18,17,10,5,0,30,21,0,0,0,0,0,0,0,0,24.4,42.3,32.6,49.7,24.4,41.2,31.2,45.6,24.4,42.3,32.6,49.7,24.4,41.2,31.2,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260331088691C,GOLD - COMMODITY EXCHANGE INC.,2026-03-31T00:00:00.000,2026 Report Week 13,GOLD,088691,CMX ,NYC,088 ,GOLD,558977,204631,43935,188236,108726,308859,501593,541030,57385,17947,558977,204631,43935,188236,108726,308859,501593,541030,57385,17947,0,0,0,0,0,0,0,0,0,0,-133235,-2837,-2199,-81027,-48714,-47995,-132578,-131222,-657,-2013,100.0,36.6,7.9,33.7,19.5,55.3,89.7,96.8,10.3,3.2,100.0,36.6,7.9,33.7,19.5,55.3,89.7,96.8,10.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,177,48,127,50,55,267,190,288,177,48,127,50,55,267,190,0,0,0,0,0,0,0,0,18.6,27.7,30.8,43.6,11.9,22.8,17.6,30.7,18.6,27.7,30.8,43.6,11.9,22.8,17.6,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260331088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-03-31T00:00:00.000,2026 Report Week 13,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,57293,15492,28583,4772,6087,0,26351,33355,30942,23938,57293,15492,28583,4772,6087,0,26351,33355,30942,23938,0,0,0,0,0,0,0,0,0,0,-14706,-5020,-8532,-4156,103,0,-9073,-12688,-5633,-2018,100.0,27.0,49.9,8.3,10.6,0.0,46.0,58.2,54.0,41.8,100.0,27.0,49.9,8.3,10.6,0.0,46.0,58.2,54.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,18,17,14,5,0,32,23,41,18,17,14,5,0,32,23,0,0,0,0,0,0,0,0,22.5,43.4,31.5,49.7,22.3,41.2,29.9,44.9,22.5,43.4,31.5,49.7,22.3,41.2,29.9,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
