id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,noncomm_positions_long_old,noncomm_positions_short_old,noncomm_positions_spread,comm_positions_long_old,comm_positions_short_old,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,noncomm_positions_long_other,noncomm_positions_short_other,noncomm_positions_spread_1,comm_positions_long_other,comm_positions_short_other,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_noncomm_long_all,change_in_noncomm_short_all,change_in_noncomm_spead_all,change_in_comm_long_all,change_in_comm_short_all,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_noncomm_long_all,pct_of_oi_noncomm_short_all,pct_of_oi_noncomm_spread,pct_of_oi_comm_long_all,pct_of_oi_comm_short_all,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_noncomm_long_old,pct_of_oi_noncomm_short_old,pct_of_oi_noncomm_spread_1,pct_of_oi_comm_long_old,pct_of_oi_comm_short_old,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_noncomm_long_other,pct_of_oi_noncomm_short_other,pct_of_oi_noncomm_spread_2,pct_of_oi_comm_long_other,pct_of_oi_comm_short_other,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_noncomm_long_all,traders_noncomm_short_all,traders_noncomm_spread_all,traders_comm_long_all,traders_comm_short_all,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_noncomm_long_old,traders_noncomm_short_old,traders_noncomm_spead_old,traders_comm_long_old,traders_comm_short_old,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_noncomm_long_other,traders_noncomm_short_other,traders_noncomm_spread_other,traders_comm_long_other,traders_comm_short_other,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
260428088691F,GOLD - COMMODITY EXCHANGE INC.,2026-04-28T00:00:00.000,2026 Report Week 17,GOLD,088691,CMX ,NYC,088 ,GOLD,369530,211818,52247,47879,60553,255366,320250,355492,49280,14038,369530,211818,52247,47879,60553,255366,320250,355492,49280,14038,0,0,0,0,0,0,0,0,0,0,3688,-1075,3360,3414,4292,-3835,6631,2939,-2943,749,100.0,57.3,14.1,13.0,16.4,69.1,86.7,96.2,13.3,3.8,100.0,57.3,14.1,13.0,16.4,69.1,86.7,96.2,13.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,167,43,73,47,44,240,136,277,167,43,73,47,44,240,136,0,0,0,0,0,0,0,0,21.3,35.7,31.3,51.1,17.6,33.4,25.6,45.1,21.3,35.7,31.3,51.1,17.6,33.4,25.6,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260428088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-28T00:00:00.000,2026 Report Week 17,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,61830,17658,40705,2129,6027,0,25814,42834,36016,18996,61830,17658,40705,2129,6027,0,25814,42834,36016,18996,0,0,0,0,0,0,0,0,0,0,1350,2179,-694,-518,98,0,1759,-1212,-409,2562,100.0,28.6,65.8,3.4,9.7,0.0,41.7,69.3,58.3,30.7,100.0,28.6,65.8,3.4,9.7,0.0,41.7,69.3,58.3,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,18,18,12,4,0,28,24,40,18,18,12,4,0,28,24,0,0,0,0,0,0,0,0,24.1,46.8,30.8,58.8,24.1,45.8,30.2,57.8,24.1,46.8,30.8,58.8,24.1,45.8,30.2,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260421088691F,GOLD - COMMODITY EXCHANGE INC.,2026-04-21T00:00:00.000,2026 Report Week 16,GOLD,088691,CMX ,NYC,088 ,GOLD,365842,212893,48887,44465,56261,259201,313619,352553,52223,13289,365842,212893,48887,44465,56261,259201,313619,352553,52223,13289,0,0,0,0,0,0,0,0,0,0,3568,2884,1404,-475,504,2362,2913,3291,655,277,100.0,58.2,13.4,12.2,15.4,70.9,85.7,96.4,14.3,3.6,100.0,58.2,13.4,12.2,15.4,70.9,85.7,96.4,14.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,178,39,65,46,47,246,130,282,178,39,65,46,47,246,130,0,0,0,0,0,0,0,0,21.4,36.3,31.1,52.2,17.7,34.1,25.3,46.0,21.4,36.3,31.1,52.2,17.7,34.1,25.3,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260421088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-21T00:00:00.000,2026 Report Week 16,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,60480,15479,41399,2647,5929,0,24055,44046,36425,16434,60480,15479,41399,2647,5929,0,24055,44046,36425,16434,0,0,0,0,0,0,0,0,0,0,567,-2980,9501,-1164,-279,0,-4423,8337,4990,-7770,100.0,25.6,68.5,4.4,9.8,0.0,39.8,72.8,60.2,27.2,100.0,25.6,68.5,4.4,9.8,0.0,39.8,72.8,60.2,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,21,20,9,4,0,30,24,45,21,20,9,4,0,30,24,0,0,0,0,0,0,0,0,20.9,49.8,27.5,60.8,20.4,48.7,26.3,59.1,20.9,49.8,27.5,60.8,20.4,48.7,26.3,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260414088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-14T00:00:00.000,2026 Report Week 15,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,59913,18459,31898,3811,6208,0,28478,35709,31435,24204,59913,18459,31898,3811,6208,0,28478,35709,31435,24204,0,0,0,0,0,0,0,0,0,0,2685,2345,2607,-577,101,0,1869,2030,816,655,100.0,30.8,53.2,6.4,10.4,0.0,47.5,59.6,52.5,40.4,100.0,30.8,53.2,6.4,10.4,0.0,47.5,59.6,52.5,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,19,19,9,5,0,31,22,44,19,19,9,5,0,31,22,0,0,0,0,0,0,0,0,23.9,42.4,33.0,50.7,23.9,41.4,31.8,47.7,23.9,42.4,33.0,50.7,23.9,41.4,31.8,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260414088691F,GOLD - COMMODITY EXCHANGE INC.,2026-04-14T00:00:00.000,2026 Report Week 15,GOLD,088691,CMX ,NYC,088 ,GOLD,362274,210009,47483,44940,55757,256839,310706,349262,51568,13012,362274,210009,47483,44940,55757,256839,310706,349262,51568,13012,0,0,0,0,0,0,0,0,0,0,7397,4641,-1580,2277,-1972,5359,4946,6056,2451,1341,100.0,58.0,13.1,12.4,15.4,70.9,85.8,96.4,14.2,3.6,100.0,58.0,13.1,12.4,15.4,70.9,85.8,96.4,14.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,179,34,52,46,45,244,114,277,179,34,52,46,45,244,114,0,0,0,0,0,0,0,0,21.4,36.6,31.2,52.7,17.6,34.6,25.3,46.6,21.4,36.6,31.2,52.7,17.6,34.6,25.3,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260407088691F,GOLD - COMMODITY EXCHANGE INC.,2026-04-07T00:00:00.000,2026 Report Week 14,GOLD,088691,CMX ,NYC,088 ,GOLD,354877,205368,49063,42663,57729,251480,305760,343206,49117,11671,354877,205368,49063,42663,57729,251480,305760,343206,49117,11671,0,0,0,0,0,0,0,0,0,0,-6532,-2234,4663,-1830,-968,-8857,-5032,-6024,-1500,-508,100.0,57.9,13.8,12.0,16.3,70.9,86.2,96.7,13.8,3.3,100.0,57.9,13.8,12.0,16.3,70.9,86.2,96.7,13.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,168,37,59,47,43,233,121,266,168,37,59,47,43,233,121,0,0,0,0,0,0,0,0,21.7,36.9,32.2,52.7,18.0,34.4,26.5,46.6,21.7,36.9,32.2,52.7,18.0,34.4,26.5,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260407088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-04-07T00:00:00.000,2026 Report Week 14,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,57228,16114,29291,4388,6107,0,26609,33679,30619,23549,57228,16114,29291,4388,6107,0,26609,33679,30619,23549,0,0,0,0,0,0,0,0,0,0,-60,622,708,-384,20,0,258,324,-318,-384,100.0,28.2,51.2,7.7,10.7,0.0,46.5,58.9,53.5,41.1,100.0,28.2,51.2,7.7,10.7,0.0,46.5,58.9,53.5,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,18,17,10,5,0,30,21,41,18,17,10,5,0,30,21,0,0,0,0,0,0,0,0,24.4,42.3,32.6,49.7,24.4,41.2,31.2,45.6,24.4,42.3,32.6,49.7,24.4,41.2,31.2,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260331088691F,GOLD - COMMODITY EXCHANGE INC.,2026-03-31T00:00:00.000,2026 Report Week 13,GOLD,088691,CMX ,NYC,088 ,GOLD,361409,207602,44400,44493,58697,260337,310792,349230,50617,12179,361409,207602,44400,44493,58697,260337,310792,349230,50617,12179,0,0,0,0,0,0,0,0,0,0,-42516,-13259,-8134,-12301,-18300,-20488,-43860,-40923,1344,-1593,100.0,57.4,12.3,12.3,16.2,72.0,86.0,96.6,14.0,3.4,100.0,57.4,12.3,12.3,16.2,72.0,86.0,96.6,14.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,165,32,57,46,45,229,117,259,165,32,57,46,45,229,117,0,0,0,0,0,0,0,0,21.9,36.3,32.9,53.3,18.0,35.0,26.9,46.7,21.9,36.3,32.9,53.3,18.0,35.0,26.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260331088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-03-31T00:00:00.000,2026 Report Week 13,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,57288,15492,28583,4772,6087,0,26351,33355,30937,23933,57288,15492,28583,4772,6087,0,26351,33355,30937,23933,0,0,0,0,0,0,0,0,0,0,-14709,-5020,-8532,-4156,103,0,-9073,-12688,-5636,-2021,100.0,27.0,49.9,8.3,10.6,0.0,46.0,58.2,54.0,41.8,100.0,27.0,49.9,8.3,10.6,0.0,46.0,58.2,54.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,18,17,14,5,0,32,23,41,18,17,14,5,0,32,23,0,0,0,0,0,0,0,0,22.5,43.4,31.5,49.8,22.3,41.2,29.9,44.9,22.5,43.4,31.5,49.8,22.3,41.2,29.9,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
